,,
流动资产：,Current assets,current_assets
  货币资金,Monetary funds,monetary_funds
  短期投资,Short-term investments,shortterm_investments
  应收票据,Notes receivable,notes_receivable
  应收股利,Dividend receivable,dividend_reveivable
  应收利息,Interest receivable,interest_receivable
  应收账款,Account receivable,account_receivable
   减：坏账准备,Bad debt reserves,bad_debt_reserves
  应收账款净额,Net Account receivable,net_account_receivable
  其它应收款,Other receivables (Passive),other_receivables_passive
,Other receivables (Non-Passive),other_receivables_nonpassive
  预付账款,Advances to suppliers,advances_to_suppliers
  应收补贴款,Subsidies receivables,subsidies_receivables
  存货,Inventories,inventories
  待转其他业务支出,Other business expense to be transferred,other_business_expense_to_be_transferred
  待摊费用,Prepaid expenses,prepaid_expenses
  待处理流动资产净损失,Unsettled G/L on current assets,unsettled_gl_on_current_assets
 一年内到期的长期债权投资,Long-term debt investment due whtin a year,longterm_debt_investment_due_within_a_year
  其它流动资产,Other current assets,other_current_assets
  流动资产合计,Sub-total of current assets,subtotal_of_current_assets
长期投资：,Long-term investments,longterm_investments
  长期股权投资,Long-term equity investment,longterm_equity_investment
  长期债权投资,Long-term debt investment,longterm_debt_investment
  长期投资合计,Sub-total of long-term investments,subtotal_of_longterm_investments
固定资产：,Fixed Assets,fixed_assets
  固定资产原价,Fixed assets-cost,fixed_assetscost
   减：累计折价 ,Less: Accumulated depreciation,less_accumulated_depreciation
  固定资产净值,Fixed asset-NBV,fixed_asset_NBV
   减：固定资产减值准备  ,Less: Provision for impairment of fixed assets,less_provision_for_impairment_of_fixed_assets
  固定资产净额,Fixed asset-net,fixed_asset_net
  固定资产清理,Disposal of fixed asset,disposal_of_fixed_asset
  工程物资,Construction materials,construction_meterials
  在建工程,Construction in progress,construction_in_progress
 待处理固定资产净损失,Unsettled G/L on fixed assets,unsettled_gl_on_fixed_assets
  固定资产合计,Sub-total of fixed assets,subtotal_of_fixed_assets
无形资产及其他资产：,Intangible and other assets,intangible_and_other_assets
无形及递延资产：,Intangible and deferred assets:,intangible_and_deferred_assets
无形资产,Intangible assets,intangible_assets
  长期待摊费用,Long-term prepayments,longterm_prepayments
递延资产,Deferred assets,deferred_assets
无形及递延资产合计,Sub-total of intangile and deferred assets,subtotal_of_intangile_and_deferred_assets
其他长期资产：,Other long-term assets,other_longterm_assets
递延税项：,Deferred taxes:,deferred_taxes_assettable
  递延税款借项,Deferred tax debit,deferred_tax_debit
资产总计,Total Assets,total_assets
,,
,,
负债和所有者权益,Liability & Owners',liability_and_owners
(或股东权益）,(Stockholders') equity,
流动负债：,Current Liabilities,current_liabilities
  短期借款,Short-term loans,shortterm_loans
  应付票据,Notes payable,notes_payable
  应付账款,Accounts payable,accounts_payable
  预收账款,Advances from customers,advances_from_customers
  应付工资,Accrued payroll,accrued_payroll
  应付福利费,Welfare expense payable,welfare_expense_payable
  应付股利,Dividend payable,dividend_payable
  应交税金,Taxes payable,taxes_payable
  其它应交款,Other payables,other_payables
  其它应付款,Other amounts payable,other_amounts_payable
  预提费用,Accrued expenses,accrued_expenses
  预计负债,Estimated liabilities,estimated_liabilities
  一年内到期的长期负债,Long-term liabilities due within a year,longterm_liabilities_due_within_a_year
  其它流动负债,Other current liabilities,other_current_liabilities
,,
  流动负债合计,Sub-total of current liabilities,subtotal_of_current_liabilities
,,
,,
长期负债：,Long-term liabilities ,longterm_liabilities
  长期借款,Long-term borrowings,longterm_borrowings
  应付债券,Bonds payable,bonds_payable
  长期应付款,Long-term payable,longterm_payable
  专项应付款,Special payables,special_payables
  其他长期负债,Other long-term liabilities,other_longterm_liabilities
  长期负债合计,Sub-total of long-term liabilities,subtotal_of_current_liabilities
递延税项：,Deferred taxes,deferred_taxes_liabilitytable
  递延税款贷项,Deferred tax credit,deferred_tax_credit
  负债合计,Total liabilities,total_liabilities
,,
,,
所有者权益（或股东权益)：,Owners' (Stockholder') Equity,owner_stockholder_equity
  实收资本（或股本）,Paid-in capital (or stock),paidin_capital_or_stock
    减：已归还投资,Less: Investment returned,less_investment_returned
  实收资本（或股本）净额,Paid-in capital (or stock) - net,paidin_capital_or_stock_net
,,
  资本公积,Capital surplus,capital_surplus
  盈余公积,Surplus reserve,surplus_reserve
    其中：法定公益金,Including: Statutory public welfare fund,including_statutory_public_welfare_fund
 外币报表折算差额,Converted difference in Foreign Currency Statement,converted_difference_in_foreign_currency_statement
  未分配利润,Undistributed profit,undistributed_profit
  所有者权益（或股东权益)合计,Total owners' (stockholders') equity,total_owners_stockholders_equity
,,
,,
负债和所有者权益(或股东权益)总计,Total liabilities & owners' (stockholders') equity,total_liabilities_owners_stockholders_equity
